#StopPointNumber;StopPointName;StopAreaNumber;LocationNorthingCoordinate;LocationEastingCoordinate;ZoneShortName;StopAreaTypeCode;LastModifiedUtcDateTime;ExistsFromDate
61934;Åkerbyvägen norra;61933;59.4523225513993;18.0735077710145;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61935;Åkerbyvägen södra;61935;59.4487026347339;18.0689094803438;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61936;Åkerbyvägen södra;61935;59.4495289665223;18.0699346603508;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61937;Storstugan;61937;59.4466516559109;18.0667216351482;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61938;Storstugan;61937;59.4472533408870;18.0675300386623;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61939;Ensta krog;61939;59.4529590768467;18.0833744828314;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61940;Ensta krog;61939;59.4531151109912;18.0821503459476;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61941;Vallarevägen;61941;59.4340238954944;18.0985836140125;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61942;Vallarevägen;61941;59.4335760531484;18.0985180584272;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61943;Kryssarvägen;61943;59.4300314294896;18.0917215270355;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61944;Galoppfältet;61503;59.4468966531859;18.0867432801239;B;BUSTERM;2014-06-20 00:00:00.000;2014-06-20 00:00:00.000
61945;Galoppfältet;61503;59.4466783633857;18.0859950792644;B;BUSTERM;2014-06-20 00:00:00.000;2014-06-20 00:00:00.000
61946;Galoppfältet;61503;59.4465716283956;18.0855949964758;B;BUSTERM;2014-06-20 00:00:00.000;2014-06-20 00:00:00.000
61947;Galoppfältet;61503;59.4467367006230;18.0853899855956;B;BUSTERM;2014-06-20 00:00:00.000;2014-06-20 00:00:00.000
61949;Skogberga;61949;59.4846696766757;18.0862842781841;B;BUSTERM;2014-07-01 00:00:00.000;2014-07-01 00:00:00.000
61950;Skogberga;61949;59.4848031506392;18.0867204743358;B;BUSTERM;2014-07-01 00:00:00.000;2014-07-01 00:00:00.000
61951;Getvägen;61951;59.4647586609054;18.0517219164724;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
61952;Getvägen;61951;59.4647781144014;18.0516349898559;B;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62001;Mellangården;62001;59.5262654473165;18.4363768199733;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62002;Mellangården;62001;59.5262314464120;18.4367277317389;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62003;Ekhamravägen;62003;59.5206719562792;18.4438771587706;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62004;Ekhamravägen;62003;59.5204862780115;18.4446226807993;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62005;Sjöhamra;62005;59.5176295063855;18.4504438116422;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62006;Sjöhamra;62005;59.5178712053209;18.4500385709467;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62007;Gallboda;62007;59.5143360877539;18.4582973297832;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62008;Gallboda;62007;59.5147546387965;18.4580297771186;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
62009;Bammarboda vägskäl;62009;59.5078285746790;18.4625391762821;C;BUSTERM;2014-06-03 00:00:00.000;2014-06-03 00:00:00.000
