#LineNumber;DirectionCode;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
538;2;50866;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50870;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50872;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50875;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50899;2014-01-16 00:00:00.000;2014-01-16 00:00:00.000
538;2;50901;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50907;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50910;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50924;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50953;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50968;2014-01-30 00:00:00.000;2014-01-30 00:00:00.000
538;2;50970;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50972;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50976;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;2;50977;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50978;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50984;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;50995;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;51284;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;51286;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;51288;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;51290;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;51292;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;51294;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;51296;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;51300;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;52020;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;52033;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;52171;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;52173;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;52175;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;2;52183;2013-03-06 00:00:00.000;2013-03-06 00:00:00.000
538;2;52185;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;52187;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;52189;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;52994;2014-03-07 00:00:00.000;2014-03-07 00:00:00.000
538;2;56512;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57295;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57301;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57308;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57310;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57313;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57318;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57320;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;2;57322;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57324;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57342;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57405;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57409;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57410;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
538;2;57458;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;2;57460;2013-12-15 00:00:00.000;2013-12-15 00:00:00.000
538;2;57462;2013-11-01 00:00:00.000;2013-11-01 00:00:00.000
538;2;57464;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50668;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50670;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50672;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50674;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50932;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50934;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50936;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50938;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50964;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;50970;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;56013;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;56701;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;56821;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;56829;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;56831;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;1;56851;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50670;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50672;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50674;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50932;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50934;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50936;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50938;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50964;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;50970;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;56013;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;56701;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;56821;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;56829;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;56831;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
539;2;56851;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;10511;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;12530;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50016;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50020;2013-03-06 00:00:00.000;2013-03-06 00:00:00.000
540;1;50023;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50254;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50313;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50315;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50317;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50353;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50355;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50357;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50359;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50383;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50741;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50743;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;50745;2013-06-21 00:00:00.000;2013-06-21 00:00:00.000
540;1;51051;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;51054;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;51121;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;51496;2013-01-07 00:00:00.000;2013-01-07 00:00:00.000
540;1;51524;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
540;1;51526;2012-08-10 00:00:00.000;2012-08-10 00:00:00.000
540;1;51528;2013-01-07 00:00:00.000;2013-01-07 00:00:00.000
540;1;51530;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;51532;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;1;51554;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
540;1;51556;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;12530;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50016;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50018;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50020;2013-03-06 00:00:00.000;2013-03-06 00:00:00.000
540;2;50254;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50266;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50313;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50315;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50317;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50353;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50355;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50357;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50359;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50536;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50741;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50743;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;50745;2013-06-21 00:00:00.000;2013-06-21 00:00:00.000
540;2;51051;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;51054;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;51121;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;51496;2013-01-07 00:00:00.000;2013-01-07 00:00:00.000
540;2;51524;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
540;2;51526;2012-08-10 00:00:00.000;2012-08-10 00:00:00.000
540;2;51528;2013-01-07 00:00:00.000;2013-01-07 00:00:00.000
540;2;51530;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;51532;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
540;2;51554;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
540;2;51556;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;12301;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
541;1;12481;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
541;1;12589;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
541;1;50091;2013-12-19 00:00:00.000;2013-12-19 00:00:00.000
541;1;50117;2012-06-23 00:00:00.000;2012-06-23 00:00:00.000
