#LineNumber;LineDesignation;DefaultTransportMode;DefaultTransportModeCode;LastModifiedUtcDateTime;ExistsFromDate
906;906;Närtrafiken;BUS;2007-10-16 00:00:00.000;2007-10-16 00:00:00.000
907;907;Närtrafiken;BUS;2007-10-16 00:00:00.000;2007-10-16 00:00:00.000
908;908;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
909;909;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
912;12;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
913;13;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
914;914;Närtrafiken;BUS;2008-09-20 00:00:00.000;2008-09-20 00:00:00.000
917;17;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
918;18;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
919;19;Ersättningsbuss;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
920;21;Ersättningsbuss;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
921;921;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
922;22;Ersättningsbuss;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
923;923;Närtrafiken;BUS;2008-06-04 00:00:00.000;2008-06-04 00:00:00.000
924;14;Ersättningsbuss;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
925;25;Ersättningsbuss;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
926;26;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
927;27;Ersättningsbuss;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
928;28;Ersättningsbuss;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
929;29;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
930;10;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
931; ;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
932; ;;BUS;2011-02-25 00:00:00.000;2011-02-25 00:00:00.000
933; ;;BUS;2011-02-25 00:00:00.000;2011-02-25 00:00:00.000
935;35;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
936;36;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
937;37;;BUS;2008-10-25 00:00:00.000;2008-10-25 00:00:00.000
940; ;;FERRY;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
941; ;;FERRY;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
942; ;;FERRY;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
943; ;;FERRY;2012-08-14 00:00:00.000;2012-08-14 00:00:00.000
951;951;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
952;952;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
953;953;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
955;955;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
959;959;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
961;961;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
962;27;Ersättningsbuss;BUS;2013-11-22 00:00:00.000;2013-11-22 00:00:00.000
963;28;Ersättningsbuss;BUS;2013-11-22 00:00:00.000;2013-11-22 00:00:00.000
964;28;Ersättningsbuss;BUS;2013-11-22 00:00:00.000;2013-11-22 00:00:00.000
968;968;;BUS;2008-11-13 00:00:00.000;2008-11-13 00:00:00.000
969;969;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
970;7;;BUS;2013-09-14 00:00:00.000;2013-09-14 00:00:00.000
971;971;Närtrafiken;BUS;2008-09-10 00:00:00.000;2008-09-10 00:00:00.000
972;972;Närtrafiken;BUS;2008-09-10 00:00:00.000;2008-09-10 00:00:00.000
978;978;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
979;979;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
980;LT502;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
981;981;Närtrafiken;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
982;38;Ersättningsbuss;BUS;2013-02-16 00:00:00.000;2013-02-16 00:00:00.000
982;982;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
983;37;Ersättningsbuss;BUS;2009-09-11 00:00:00.000;2009-09-11 00:00:00.000
986;35;Ersättningsbuss;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
987;36;Ersättningsbuss;BUS;2007-11-29 00:00:00.000;2007-11-29 00:00:00.000
990;UL857;;BUS;2008-08-18 00:00:00.000;2008-08-18 00:00:00.000
991;803;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
992;807;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
993;UL808;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
994;UL806;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
995;UL805;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
996;UL183;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
997;UL801;;BUS;2010-09-09 00:00:00.000;2010-09-09 00:00:00.000
998;870;;BUS;2007-08-24 00:00:00.000;2007-08-24 00:00:00.000
9001;9001;;TRAIN;2010-11-04 00:00:00.000;2010-11-04 00:00:00.000
9002;9002;;TRAIN;2010-11-04 00:00:00.000;2010-11-04 00:00:00.000
9003;9003;;TRAIN;2010-11-04 00:00:00.000;2010-11-04 00:00:00.000
9004;9004;;TRAIN;2010-11-04 00:00:00.000;2010-11-04 00:00:00.000
9998;9998;;TRAIN;2010-06-15 00:00:00.000;2010-06-15 00:00:00.000
