#SiteId;SiteName;StopAreaNumber;LastModifiedUtcDateTime;ExistsFromDate
8061;Björkgården;80263;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8723;Björkhagavägen;81329;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7758;Björkhagen;75360;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9143;Björkhagen;1921;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9143;Björkhagen;13886;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9791;Björkhagens skola;16013;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7133;Björkhagsvägen;70218;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6475;Björkholmen;64713;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4109;Björkholmsvägen;40415;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7022;Björkholmsvägen;70096;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7236;Björkhult;70432;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6920;Björkkulla;64327;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8670;Björklida;81129;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3264;Björkliden;15755;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6761;Björklund;64521;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
136;Björknäs;136;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5634;Björknäs;51396;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7936;Björknäs;73224;2013-10-18 12:05:59.803;2013-12-15 00:00:00.000
4110;Björknäs centrum;40258;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5636;Björknäs gård;51393;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5633;Björknäsbadet;51395;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4512;Björksalavägen;41715;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6558;Björkskog;64817;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3272;Björksäter;15773;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7182;Björksättra;70149;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2704;Björktorp;62031;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7475;Björktraststigen;75779;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4533;Björkvarpet;41771;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3338;Björkvik;15886;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1004330;Björkvik;41219;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1004330;Björkvik;278;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4330;Björkviks brygga;41219;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4330;Björkviks brygga;278;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5025;Björkvägen;55069;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4414;Björkås;41439;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7054;Björkängshallen;70196;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7054;Björkängshallen;70280;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6138;Björkö örn;63139;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6716;Björkö-Arholma kyrka;63599;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6706;Björkö-Arholma kyrkogård;63675;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6717;Björkö-Arholma skola;63347;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6696;Björkögården/Västra Edsvik;63655;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
219;Björkösund;219;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2096;Björnbo (Björnbo sjh);20512;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1002090;Björnbo (Svedjev);20501;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3835;Björnbodaskolan;12431;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3836;Björnbodavägen;12433;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8071;Björndalen;80275;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3841;Björnflokevägen;12427;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7876;Björnhagen;75618;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2846;Björnhammarsvägen;67415;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4581;Björnhamra;41681;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
841;Björnholmen;841;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
836;Björnhuvud;836;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2700;Björnhuvuds vägskäl;62131;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7013;Björnkulla;70488;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3837;Björnmossevägen;12429;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3837;Björnmossevägen;12486;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4356;Björnsjön;41265;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4213;Björnskogsvägen;41073;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3669;Björnsongatan;12569;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
5751;Björnstiernas väg;51624;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
2239;Björnvägen;61719;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8366;Björnvägen;80881;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6068;Björnö grindstuga;63009;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4324;Björnö gård;41221;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6069;Björnö gård;63011;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4331;Björnö naturreservat;41217;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
4323;Björnö Sandarna;41215;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8436;Björnövägen;81013;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
8642;Björsta;75503;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9105;Blackeberg;1271;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9105;Blackeberg;12057;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
9105;Blackeberg;12569;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3667;Blackebergs grindstuga;12091;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3661;Blackebergs gård;12181;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3900;Blackebergs servicehus;12054;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3907;Blackebergs skola;12055;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
3948;Blackebergsplan;12058;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
1006;Blekholmsterrassen;10507;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6720;Blekunge;63697;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7009;Blickaberget;70204;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7008;Blickagången;70439;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
7259;Blickavägen;72338;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
6213;Blidö gård;63439;2012-03-26 23:55:32.900;2012-06-23 00:00:00.000
